part,action,start_frame,end_frame,start_sec,end_sec
Main Drive Planet Gear,install,0,291,0.0,9.709
Pop Control Ring Gear,install,291,1151,9.709,38.375
Pop Control Sun Gear,install,1151,1822,38.375,60.73
Compressor Casing,install,1822,2933,60.73,97.776
Exhaust,install,2933,4012,97.776,133.743
Exhaust Casing,install,4012,4727,133.743,157.576
Cowling Bracket,install,4727,5524,157.576,184.141
Frame Subassembly,install,5524,6287,184.141,209.563
Propeller Cone Tip,install,6287,7234,209.563,241.142
Propeller Cone plate,install,7234,7444,241.142,248.141
