part,action,start_frame,end_frame,start_sec,end_sec
Propeller Cone Tip,remove,0,1311,0.0,43.697
Propeller Cone plate,remove,1311,1390,43.697,46.321
Frame Subassembly,remove,1390,2274,46.321,75.81
Cowling Bracket,remove,2274,3370,75.81,112.324
Exhaust Casing,remove,3370,4300,112.324,143.325
Exhaust,remove,4300,5096,143.325,169.863
Compressor Casing,remove,5096,6312,169.863,210.414
Pop Control Sun Gear,remove,6312,6862,210.414,228.723
Pop Control Ring Gear,remove,6862,7432,228.723,247.73
Main Drive Planet Gear,remove,7432,7695,247.73,256.514
